CellLines;CellTypes
BT549;Breast
HS578T;Breast
MCF7;Breast
MDAMB231;Breast
MDAMB435;Skin
T47D;Breast
SF268;CNS
SF295;CNS
SF539;CNS
SNB19;CNS
SNB75;CNS
U251;CNS
COLO205;Colon
HCC2998;Colon
HCT116;Colon
HCT15;Colon
HT29;Colon
KM12;Colon
SW620;Colon
CCRFCEM;Blood
HL60;Blood
K562;Blood
MOLT4;Blood
RPMI8226;Blood
SR;Blood
LOXIMVI;Skin
M14;Skin
MALME3M;Skin
SKMEL2;Skin
SKMEL28;Skin
SKMEL5;Skin
UACC257;Skin
UACC62;Skin
A549;Lung
EKVX;Lung
H226;Lung
H23;Lung
H322M;Lung
H460;Lung
H522;Lung
HOP62;Lung
HOP92;Lung
IGROV1;Ovarian
OVCAR3;Ovarian
OVCAR4;Ovarian
OVCAR5;Ovarian
OVCAR8;Ovarian
SKOV3;Ovarian
DU145;Prostate
PC3;Prostate
7860;Renal
A498;Renal
ACHN;Renal
CAKI1;Renal
RXF393;Renal
SN12C;Renal
TK10;Renal
UO31;Renal
